PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00112E23] X28=00000000 X02=004FFFE0 X01=000001C0 sw      ra,28(sp)
PC=000001D0 [00812C23] X24=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,24(sp)
PC=000001D4 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D8 [FE0407A3] X15=00000000 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000001DC [FFF00513] X10=FFFFFFFF X00=00000000 X31=00000000 addi    a0,zero,-1
PC=000001E0 [028000EF] X01=000001E4 X00=00000000 X08=00500000 jal     ra,40
PC=00000208 [FD010113] X02=004FFFB0 X02=004FFFE0 X16=00000000 addi    sp,sp,-48
PC=0000020C [02112623] X12=00000000 X02=004FFFB0 X01=000001E4 sw      ra,44(sp)
PC=00000210 [02812423] X08=00500000 X02=004FFFB0 X08=00500000 sw      s0/fp,40(sp)
PC=00000214 [03010413] X08=004FFFE0 X02=004FFFB0 X16=00000000 addi    s0/fp,sp,48
PC=00000218 [00050793] X15=FFFFFFFF X10=FFFFFFFF X00=00000000 addi    a5,a0,0
PC=0000021C [FCF40FA3] X31=00000000 X08=004FFFE0 X15=FFFFFFFF sb      a5,-33(s0/fp)
PC=00000220 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000224 [FEF42623] X12=00000000 X08=004FFFE0 X15=FFFFFFFE sw      a5,-20(s0/fp)
PC=00000228 [FDF40783] X15=000000FF X08=004FFFE0 X31=00000000 lb      a5,-33(s0/fp)
PC=0000022C [00078513] X10=000000FF X15=000000FF X00=00000000 addi    a0,a5,0
PC=00000230 [070000EF] X01=00000234 X00=00000000 X16=00000000 jal     ra,112
PC=000002A0 [FD010113] X02=004FFF80 X02=004FFFB0 X16=00000000 addi    sp,sp,-48
PC=000002A4 [02112623] X12=00000000 X02=004FFF80 X01=00000234 sw      ra,44(sp)
PC=000002A8 [02812423] X08=004FFFE0 X02=004FFF80 X08=004FFFE0 sw      s0/fp,40(sp)
PC=000002AC [03010413] X08=004FFFB0 X02=004FFF80 X16=00000000 addi    s0/fp,sp,48
PC=000002B0 [00050793] X15=000000FF X10=000000FF X00=00000000 addi    a5,a0,0
PC=000002B4 [FCF40FA3] X31=00000000 X08=004FFFB0 X15=000000FF sb      a5,-33(s0/fp)
PC=000002B8 [FE042623] X12=00000000 X08=004FFFB0 X00=00000000 sw      zero,-20(s0/fp)
PC=000002BC [FDF40783] X15=000000FF X08=004FFFB0 X31=00000000 lb      a5,-33(s0/fp)
PC=000002C0 [00078513] X10=000000FF X15=000000FF X00=00000000 addi    a0,a5,0
PC=000002C4 [070000EF] X01=000002C8 X00=00000000 X16=00000000 jal     ra,112
PC=00000334 [FD010113] X02=004FFF50 X02=004FFF80 X16=00000000 addi    sp,sp,-48
PC=00000338 [02112623] X12=00000000 X02=004FFF50 X01=000002C8 sw      ra,44(sp)
PC=0000033C [02812423] X08=004FFFB0 X02=004FFF50 X08=004FFFB0 sw      s0/fp,40(sp)
PC=00000340 [03010413] X08=004FFF80 X02=004FFF50 X16=00000000 addi    s0/fp,sp,48
PC=00000344 [00050793] X15=000000FF X10=000000FF X00=00000000 addi    a5,a0,0
PC=00000348 [FCF40FA3] X31=00000000 X08=004FFF80 X15=000000FF sb      a5,-33(s0/fp)
PC=0000034C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000350 [FEF41723] X14=00000000 X08=004FFF80 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=00000354 [FDF40783] X15=000000FF X08=004FFF80 X31=00000000 lb      a5,-33(s0/fp)
PC=00000358 [00078513] X10=000000FF X15=000000FF X00=00000000 addi    a0,a5,0
PC=0000035C [080000EF] X01=00000360 X00=00000000 X00=00000000 jal     ra,128
PC=000003DC [FD010113] X02=004FFF20 X02=004FFF50 X16=00000000 addi    sp,sp,-48
PC=000003E0 [02112623] X12=00000000 X02=004FFF20 X01=00000360 sw      ra,44(sp)
PC=000003E4 [02812423] X08=004FFF80 X02=004FFF20 X08=004FFF80 sw      s0/fp,40(sp)
PC=000003E8 [03010413] X08=004FFF50 X02=004FFF20 X16=00000000 addi    s0/fp,sp,48
PC=000003EC [00050793] X15=000000FF X10=000000FF X00=00000000 addi    a5,a0,0
PC=000003F0 [FCF40FA3] X31=00000000 X08=004FFF50 X15=000000FF sb      a5,-33(s0/fp)
PC=000003F4 [00900793] X15=00000009 X00=00000000 X09=00000000 addi    a5,zero,9
PC=000003F8 [FEF41723] X14=00000000 X08=004FFF50 X15=00000009 sh      a5,-18(s0/fp)
PC=000003FC [FDF40783] X15=000000FF X08=004FFF50 X31=00000000 lb      a5,-33(s0/fp)
PC=00000400 [00078513] X10=000000FF X15=000000FF X00=00000000 addi    a0,a5,0
PC=00000404 [070000EF] X01=00000408 X00=00000000 X16=00000000 jal     ra,112
PC=00000474 [FD010113] X02=004FFEF0 X02=004FFF20 X16=00000000 addi    sp,sp,-48
PC=00000478 [02112623] X12=00000000 X02=004FFEF0 X01=00000408 sw      ra,44(sp)
PC=0000047C [02812423] X08=004FFF50 X02=004FFEF0 X08=004FFF50 sw      s0/fp,40(sp)
PC=00000480 [03010413] X08=004FFF20 X02=004FFEF0 X16=00000000 addi    s0/fp,sp,48
PC=00000484 [00050793] X15=000000FF X10=000000FF X00=00000000 addi    a5,a0,0
PC=00000488 [FCF40FA3] X31=00000000 X08=004FFF20 X15=000000FF sb      a5,-33(s0/fp)
PC=0000048C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000490 [FEF42623] X12=00000000 X08=004FFF20 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=00000494 [FDF40783] X15=000000FF X08=004FFF20 X31=00000000 lb      a5,-33(s0/fp)
PC=00000498 [00078513] X10=000000FF X15=000000FF X00=00000000 addi    a0,a5,0
PC=0000049C [070000EF] X01=000004A0 X00=00000000 X16=00000000 jal     ra,112
PC=0000050C [FD010113] X02=004FFEC0 X02=004FFEF0 X16=00000000 addi    sp,sp,-48
PC=00000510 [02112623] X12=00000000 X02=004FFEC0 X01=000004A0 sw      ra,44(sp)
PC=00000514 [02812423] X08=004FFF20 X02=004FFEC0 X08=004FFF20 sw      s0/fp,40(sp)
PC=00000518 [03010413] X08=004FFEF0 X02=004FFEC0 X16=00000000 addi    s0/fp,sp,48
PC=0000051C [00050793] X15=000000FF X10=000000FF X00=00000000 addi    a5,a0,0
PC=00000520 [FCF40FA3] X31=00000000 X08=004FFEF0 X15=000000FF sb      a5,-33(s0/fp)
PC=00000524 [00E00793] X15=0000000E X00=00000000 X14=00000000 addi    a5,zero,14
PC=00000528 [FEF42623] X12=00000000 X08=004FFEF0 X15=0000000E sw      a5,-20(s0/fp)
PC=0000052C [FDF40783] X15=000000FF X08=004FFEF0 X31=00000000 lb      a5,-33(s0/fp)
PC=00000530 [00078513] X10=000000FF X15=000000FF X00=00000000 addi    a0,a5,0
PC=00000534 [070000EF] X01=00000538 X00=00000000 X16=00000000 jal     ra,112
PC=000005A4 [FD010113] X02=004FFE90 X02=004FFEC0 X16=00000000 addi    sp,sp,-48
