PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00112E23] X28=00000000 X02=004FFFE0 X01=000001C0 sw      ra,28(sp)
PC=000001D0 [00812C23] X24=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,24(sp)
PC=000001D4 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D8 [00000513] X10=00000000 X00=00000000 X00=00000000 addi    a0,zero,0
PC=000001DC [074000EF] X01=000001E0 X00=00000000 X20=00000000 jal     ra,116
PC=00000250 [FE010113] X02=004FFFC0 X02=004FFFE0 X00=00000000 addi    sp,sp,-32
PC=00000254 [00812E23] X28=00000000 X02=004FFFC0 X08=00500000 sw      s0/fp,28(sp)
PC=00000258 [02010413] X08=004FFFE0 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,32
PC=0000025C [FEA42623] X12=00000000 X08=004FFFE0 X10=00000000 sw      a0,-20(s0/fp)
PC=00000260 [FEC42783] X15=00000000 X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=00000264 [FFF78793] X15=FFFFFFFF X15=00000000 X31=00000000 addi    a5,a5,-1
PC=00000268 [00078513] X10=FFFFFFFF X15=FFFFFFFF X00=00000000 addi    a0,a5,0
PC=0000026C [01C12403] X08=00500000 X02=004FFFC0 X28=00000000 lw      s0/fp,28(sp)
PC=00000270 [02010113] X02=004FFFE0 X02=004FFFC0 X00=00000000 addi    sp,sp,32
PC=00000274 [00008067] X00=00000000 X01=000001E0 X00=00000000 jalr    zero,ra,0
PC=000001E0 [FEA42623] X12=00000000 X08=00500000 X10=FFFFFFFF sw      a0,-20(s0/fp)
PC=000001E4 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001E8 [00000513] X10=00000000 X00=00000000 X00=00000000 addi    a0,zero,0
PC=000001EC [08C000EF] X01=000001F0 X00=00000000 X12=00000000 jal     ra,140
PC=00000278 [FE010113] X02=004FFFC0 X02=004FFFE0 X00=00000000 addi    sp,sp,-32
PC=0000027C [00812E23] X28=00000000 X02=004FFFC0 X08=00500000 sw      s0/fp,28(sp)
PC=00000280 [02010413] X08=004FFFE0 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,32
PC=00000284 [FEA42623] X12=00000000 X08=004FFFE0 X10=00000000 sw      a0,-20(s0/fp)
PC=00000288 [FEC42783] X15=00000000 X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=0000028C [00178793] X15=00000001 X15=00000000 X01=000001F0 addi    a5,a5,1
PC=00000290 [00078513] X10=00000001 X15=00000001 X00=00000000 addi    a0,a5,0
PC=00000294 [01C12403] X08=00500000 X02=004FFFC0 X28=00000000 lw      s0/fp,28(sp)
PC=00000298 [02010113] X02=004FFFE0 X02=004FFFC0 X00=00000000 addi    sp,sp,32
PC=0000029C [00008067] X00=00000000 X01=000001F0 X00=00000000 jalr    zero,ra,0
PC=000001F0 [FEA42623] X12=00000000 X08=00500000 X10=00000001 sw      a0,-20(s0/fp)
PC=000001F4 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001F8 [FFF00513] X10=FFFFFFFF X00=00000000 X31=00000000 addi    a0,zero,-1
PC=000001FC [054000EF] X01=00000200 X00=00000000 X20=00000000 jal     ra,84
PC=00000250 [FE010113] X02=004FFFC0 X02=004FFFE0 X00=00000000 addi    sp,sp,-32
PC=00000254 [00812E23] X28=00000000 X02=004FFFC0 X08=00500000 sw      s0/fp,28(sp)
PC=00000258 [02010413] X08=004FFFE0 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,32
PC=0000025C [FEA42623] X12=00000000 X08=004FFFE0 X10=FFFFFFFF sw      a0,-20(s0/fp)
PC=00000260 [FEC42783] X15=FFFFFFFF X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=00000264 [FFF78793] X15=FFFFFFFE X15=FFFFFFFF X31=00000000 addi    a5,a5,-1
PC=00000268 [00078513] X10=FFFFFFFE X15=FFFFFFFE X00=00000000 addi    a0,a5,0
PC=0000026C [01C12403] X08=00500000 X02=004FFFC0 X28=00000000 lw      s0/fp,28(sp)
PC=00000270 [02010113] X02=004FFFE0 X02=004FFFC0 X00=00000000 addi    sp,sp,32
PC=00000274 [00008067] X00=00000000 X01=00000200 X00=00000000 jalr    zero,ra,0
PC=00000200 [FEA42623] X12=00000000 X08=00500000 X10=FFFFFFFE sw      a0,-20(s0/fp)
PC=00000204 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000208 [FFF00513] X10=FFFFFFFF X00=00000000 X31=00000000 addi    a0,zero,-1
PC=0000020C [06C000EF] X01=00000210 X00=00000000 X12=00000000 jal     ra,108
PC=00000278 [FE010113] X02=004FFFC0 X02=004FFFE0 X00=00000000 addi    sp,sp,-32
PC=0000027C [00812E23] X28=00000000 X02=004FFFC0 X08=00500000 sw      s0/fp,28(sp)
PC=00000280 [02010413] X08=004FFFE0 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,32
PC=00000284 [FEA42623] X12=00000000 X08=004FFFE0 X10=FFFFFFFF sw      a0,-20(s0/fp)
PC=00000288 [FEC42783] X15=FFFFFFFF X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=0000028C [00178793] X15=00000000 X15=FFFFFFFF X01=00000210 addi    a5,a5,1
PC=00000290 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000294 [01C12403] X08=00500000 X02=004FFFC0 X28=00000000 lw      s0/fp,28(sp)
PC=00000298 [02010113] X02=004FFFE0 X02=004FFFC0 X00=00000000 addi    sp,sp,32
PC=0000029C [00008067] X00=00000000 X01=00000210 X00=00000000 jalr    zero,ra,0
PC=00000210 [FEA42623] X12=00000000 X08=00500000 X10=00000000 sw      a0,-20(s0/fp)
PC=00000214 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000218 [00100513] X10=00000001 X00=00000000 X01=00000210 addi    a0,zero,1
PC=0000021C [034000EF] X01=00000220 X00=00000000 X20=00000000 jal     ra,52
PC=00000250 [FE010113] X02=004FFFC0 X02=004FFFE0 X00=00000000 addi    sp,sp,-32
PC=00000254 [00812E23] X28=00000000 X02=004FFFC0 X08=00500000 sw      s0/fp,28(sp)
PC=00000258 [02010413] X08=004FFFE0 X02=004FFFC0 X00=00000000 addi    s0/fp,sp,32
PC=0000025C [FEA42623] X12=00000000 X08=004FFFE0 X10=00000001 sw      a0,-20(s0/fp)
PC=00000260 [FEC42783] X15=00000001 X08=004FFFE0 X12=00000000 lw      a5,-20(s0/fp)
PC=00000264 [FFF78793] X15=00000000 X15=00000001 X31=00000000 addi    a5,a5,-1
PC=00000268 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=0000026C [01C12403] X08=00500000 X02=004FFFC0 X28=00000000 lw      s0/fp,28(sp)
PC=00000270 [02010113] X02=004FFFE0 X02=004FFFC0 X00=00000000 addi    sp,sp,32
PC=00000274 [00008067] X00=00000000 X01=00000220 X00=00000000 jalr    zero,ra,0
PC=00000220 [FEA42623] X12=00000000 X08=00500000 X10=00000000 sw      a0,-20(s0/fp)
